timestamp,x,y,z
0,-3.28,2.53,-10.24
10,-3.17,2.52,-10.47
20,-3.11,2.54,-10.71
30,-3.11,2.52,-11.03
40,-3.18,2.59,-11.32
50,-3.27,2.71,-11.55
60,-3.38,2.82,-11.69
70,-3.47,2.95,-11.78
80,-3.5,3.1,-11.88
90,-3.55,3.18,-11.94
100,-3.62,3.19,-12.0
110,-3.67,3.17,-12.05
120,-3.74,3.16,-12.0
130,-3.76,3.16,-11.97
140,-3.67,3.34,-11.92
150,-3.59,3.5,-11.83
160,-3.61,3.51,-11.77
170,-3.68,3.48,-11.73
180,-3.79,3.45,-11.6
190,-3.94,3.45,-11.44
200,-4.09,3.48,-11.16
210,-4.2,3.53,-10.75
220,-4.25,3.69,-10.38
230,-4.28,3.9,-10.01
240,-4.36,3.92,-9.75
250,-4.48,3.85,-9.57
260,-4.53,3.77,-9.38
270,-4.53,3.71,-9.17
280,-4.45,3.76,-8.91
290,-4.23,3.98,-8.58
300,-3.93,4.17,-8.31
310,-3.67,4.21,-8.08
320,-3.43,4.15,-7.87
330,-3.31,4.03,-7.69
340,-3.24,3.85,-7.43
350,-3.22,3.69,-7.07
360,-3.37,3.61,-6.73
370,-3.6,3.69,-6.31
380,-3.82,3.89,-5.89
390,-4.09,4.03,-5.54
400,-4.36,4.1,-5.1
410,-4.71,4.14,-4.59
420,-5.16,4.19,-3.96
430,-5.69,4.15,-3.17
440,-6.16,4.29,-2.37
450,-6.75,4.39,-1.56
460,-7.56,4.39,-0.73
470,-8.7,4.49,0.28
480,-10.16,4.47,1.4
490,-11.71,4.49,2.61
500,-13.26,4.47,3.93
510,-14.31,4.5,5.15
520,-14.73,4.36,6.08
530,-14.47,3.99,6.42
540,-13.69,3.42,6.14
550,-12.63,2.64,5.38
560,-11.45,1.77,4.4
570,-10.27,0.87,3.27
580,-9.01,0.05,2.05
590,-7.49,-0.58,0.57
600,-5.72,-1.05,-1.24
610,-3.64,-1.5,-3.39
620,-1.29,-1.95,-5.89
630,1.0,-2.39,-8.7
640,2.91,-2.82,-11.52
650,4.55,-3.13,-14.1
660,5.99,-3.21,-16.37
670,7.3,-3.11,-18.53
680,8.58,-2.83,-20.65
690,9.71,-2.62,-22.42
700,10.65,-2.57,-23.92
710,11.39,-2.79,-25.23
720,12.05,-3.3,-26.04
730,12.68,-3.75,-26.28
740,13.02,-4.07,-25.9
750,12.82,-4.31,-24.79
760,11.99,-4.51,-23.1
770,10.53,-4.66,-21.13
780,8.39,-4.87,-18.98
790,6.0,-5.03,-16.76
800,3.47,-5.2,-14.6
810,0.74,-5.22,-12.74
820,-2.22,-4.82,-11.11
830,-5.58,-3.94,-10.22
840,-7.87,-3.23,-8.2
850,-10.48,-2.32,-7.54
860,-12.89,-1.37,-6.45
870,-14.52,-0.31,-4.91
880,-16.42,0.87,-4.47
890,-18.0,2.1,-4.05
900,-20.11,2.86,-5.19
910,-19.28,2.13,-0.28
920,-20.08,3.57,-1.39
930,-21.73,3.98,-1.51
940,-22.47,4.58,-1.17
950,-22.47,5.04,-0.82
960,-22.3,5.24,-0.33
970,-21.73,5.13,-0.02
980,-20.65,4.74,0.01
990,-19.26,4.17,-0.26
1000,-17.55,3.62,-0.74
