timestamp,x,y,z
0,-3.06,4.72,-10.65
10,-2.82,4.77,-10.53
20,-2.56,4.91,-10.4
30,-2.41,4.92,-10.31
40,-2.31,4.83,-10.12
50,-2.24,4.77,-9.92
60,-2.17,4.8,-9.75
70,-2.09,4.89,-9.54
80,-1.94,5.04,-9.3
90,-1.74,5.29,-9.01
100,-1.56,5.42,-8.77
110,-1.43,5.23,-8.61
120,-1.29,4.83,-8.55
130,-1.11,4.38,-8.53
140,-0.89,3.92,-8.49
150,-0.59,3.54,-8.47
160,-0.34,3.23,-8.43
170,-0.06,3.01,-8.38
180,0.24,2.72,-8.27
190,0.51,2.37,-8.0
200,0.61,2.15,-7.29
210,0.25,2.04,-6.54
220,-0.64,2.04,-5.55
230,-1.87,2.09,-3.85
240,-3.72,2.39,-2.98
250,-6.34,2.84,-2.02
260,-9.31,3.53,-1.21
270,-12.29,4.23,-0.41
280,-14.79,4.89,0.34
290,-17.1,5.39,1.38
300,-18.26,5.68,2.65
310,-18.85,5.64,3.52
320,-19.01,5.28,4.15
330,-18.66,4.78,4.22
340,-18.06,4.07,3.54
350,-16.92,3.33,2.15
360,-15.22,2.24,0.95
370,-13.21,0.94,-1.8
380,-10.94,-0.74,-3.38
390,-8.54,-2.28,-5.32
400,-6.22,-3.58,-7.52
410,-4.07,-4.53,-9.91
420,-1.95,-5.07,-12.56
430,0.18,-5.38,-15.0
440,2.38,-5.88,-17.28
450,4.7,-6.25,-19.38
460,7.04,-6.63,-21.05
470,9.07,-6.84,-22.22
480,10.62,-6.67,-23.02
490,11.7,-6.17,-23.35
500,12.23,-5.53,-22.94
510,12.42,-4.97,-21.83
520,12.48,-4.6,-20.28
530,12.72,-4.73,-18.65
540,13.12,-5.23,-17.17
550,13.27,-5.73,-15.88
560,12.9,-6.28,-14.71
570,11.96,-6.65,-13.51
580,10.23,-6.85,-12.3
590,7.85,-6.73,-11.21
600,4.92,-6.28,-10.26
610,1.88,-5.52,-9.59
620,-1.06,-4.51,-9.46
630,-3.48,-3.35,-9.85
640,-6.05,-2.09,-10.48
650,-8.13,-0.84,-10.69
660,-10.33,0.48,-10.89
670,-12.22,1.57,-10.22
680,-14.47,2.48,-9.16
690,-17.05,3.32,-7.42
700,-20.15,4.46,-6.18
710,-22.88,5.43,-4.85
720,-24.72,6.0,-3.69
730,-25.56,6.4,-2.81
740,-25.51,6.64,-2.44
750,-24.86,6.68,-2.14
760,-23.98,6.46,-2.01
770,-22.89,5.96,-1.67
780,-21.64,5.23,-1.45
790,-20.28,4.23,-1.17
800,-18.48,2.99,-1.24
810,-16.39,1.55,-1.75
820,-14.23,0.15,-2.43
830,-11.89,-1.13,-2.1
840,-10.24,-2.01,-6.03
850,-8.53,-2.81,-6.17
860,-7.12,-3.46,-7.01
870,-5.78,-3.98,-8.03
880,-4.37,-4.46,-9.49
890,-2.78,-4.69,-11.13
900,-1.5,-4.65,-12.8
910,-0.8,-4.49,-14.42
920,-0.52,-4.28,-15.79
930,-0.25,-4.09,-16.93
940,0.35,-3.86,-17.8
950,1.25,-3.69,-18.45
960,2.29,-3.48,-18.78
970,3.17,-3.07,-18.72
980,3.55,-2.58,-18.33
990,3.32,-1.94,-17.57
1000,2.62,-1.31,-16.43
