timestamp,x,y,z
0,1.38,3.73,-9.77
10,1.35,3.76,-9.67
20,1.27,3.79,-9.59
30,1.16,3.79,-9.58
40,1.03,3.81,-9.59
50,0.95,3.8,-9.68
60,0.94,3.77,-9.81
70,1.03,3.76,-9.91
80,1.18,3.78,-9.99
90,1.32,3.83,-10.02
100,1.42,3.87,-10.04
110,1.41,3.89,-10.04
120,1.36,3.94,-10.05
130,1.27,3.94,-10.04
140,1.17,3.91,-10.01
150,1.1,3.88,-9.94
160,1.08,3.88,-9.83
170,1.1,3.91,-9.76
180,1.15,3.96,-9.75
190,1.22,4.05,-9.74
200,1.3,4.1,-9.8
210,1.41,4.11,-9.91
220,1.51,4.11,-10.03
230,1.68,4.1,-10.15
240,1.82,4.07,-10.27
250,1.96,4.04,-10.39
260,2.07,4.0,-10.54
270,2.19,3.95,-10.7
280,2.35,4.0,-10.95
290,2.35,4.01,-11.18
300,2.08,3.94,-11.38
310,1.13,3.97,-11.64
320,-0.51,3.99,-11.6
330,-2.43,4.26,-11.29
340,-4.81,4.7,-10.51
350,-7.68,5.1,-9.38
360,-10.8,5.57,-7.88
370,-13.52,6.02,-6.03
380,-15.78,6.42,-4.08
390,-17.21,6.7,-2.54
400,-18.17,6.33,-1.85
410,-18.02,5.58,-1.94
420,-17.1,4.43,-2.53
430,-15.37,3.04,-3.4
440,-13.28,1.46,-4.39
450,-10.97,-0.18,-5.4
460,-8.61,-1.94,-6.46
470,-5.93,-3.59,-6.97
480,-3.46,-4.56,-8.74
490,0.05,-4.88,-8.85
500,4.52,-4.69,-9.06
510,5.61,-4.1,-12.42
520,9.72,-5.04,-11.03
530,13.13,-5.7,-10.79
540,16.36,-6.22,-10.95
550,19.38,-6.44,-11.17
560,21.48,-6.95,-11.39
570,22.73,-7.57,-11.43
580,23.01,-8.15,-11.73
590,22.63,-8.38,-12.52
600,21.68,-8.15,-13.68
610,20.4,-7.59,-14.88
620,18.82,-6.93,-15.74
630,17.12,-6.32,-16.22
640,15.24,-5.76,-16.58
650,13.45,-5.52,-16.43
660,11.61,-5.5,-16.21
670,9.32,-5.07,-16.9
680,6.48,-4.89,-18.18
690,7.21,-5.05,-10.47
700,2.51,-4.75,-13.54
710,-0.4,-4.04,-14.13
720,-4.02,-3.05,-14.01
730,-8.06,-1.97,-13.92
740,-12.46,-0.89,-13.8
750,-16.63,0.18,-13.79
760,-20.04,1.57,-13.62
770,-23.9,2.62,-13.1
780,-25.88,3.52,-12.16
790,-26.51,4.1,-10.74
800,-26.48,4.14,-9.39
810,-25.84,3.82,-8.54
820,-24.95,3.26,-8.13
830,-23.74,2.54,-8.18
840,-22.47,1.77,-8.4
850,-20.81,0.98,-8.81
860,-18.79,0.06,-8.9
870,-16.24,-0.95,-8.59
880,-12.96,-2.18,-9.54
890,-11.03,-3.4,-8.11
900,-7.82,-3.99,-9.89
910,-6.21,-4.69,-10.36
920,-3.27,-4.62,-13.54
930,-0.59,-5.02,-12.97
940,1.92,-5.32,-13.34
950,4.21,-5.45,-13.84
960,6.32,-5.44,-14.14
970,8.07,-5.4,-14.41
980,9.39,-5.3,-15.02
990,10.4,-5.01,-15.87
1000,11.11,-4.43,-16.65
