timestamp,x,y,z
0,-1.41,3.95,-9.53
10,-1.36,3.96,-9.48
20,-1.35,3.96,-9.37
30,-1.35,3.92,-9.36
40,-1.39,3.93,-9.32
50,-1.44,3.91,-9.36
60,-1.5,3.91,-9.41
70,-1.53,3.92,-9.47
80,-1.57,3.95,-9.54
90,-1.57,3.98,-9.57
100,-1.6,4.02,-9.53
110,-1.59,4.02,-9.47
120,-1.65,3.98,-9.33
130,-1.71,3.92,-9.21
140,-1.78,3.9,-9.11
150,-1.85,3.9,-9.08
160,-1.96,3.92,-9.09
170,-2.06,4.0,-9.16
180,-2.16,4.08,-9.23
190,-2.23,4.13,-9.23
200,-2.29,4.16,-9.26
210,-2.28,4.21,-9.24
220,-2.23,4.25,-9.17
230,-2.13,4.31,-9.11
240,-2.05,4.3,-9.01
250,-2.0,4.33,-8.98
260,-1.99,4.31,-8.98
270,-1.97,4.35,-9.02
280,-1.96,4.35,-9.06
290,-1.93,4.36,-9.11
300,-1.86,4.36,-9.24
310,-1.77,4.33,-9.37
320,-1.7,4.31,-9.5
330,-1.66,4.36,-9.59
340,-1.93,4.34,-9.64
350,-2.51,4.44,-9.46
360,-3.6,4.51,-9.25
370,-5.35,4.74,-8.84
380,-7.52,5.19,-8.16
390,-10.04,5.71,-7.24
400,-12.57,6.18,-5.99
410,-14.95,6.56,-4.62
420,-16.87,6.43,-3.2
430,-18.05,5.91,-2.05
440,-18.21,5.14,-1.31
450,-17.42,4.19,-1.1
460,-16.0,3.13,-1.49
470,-14.24,1.93,-2.33
480,-11.78,0.66,-2.08
490,-10.12,-0.56,-4.85
500,-7.73,-1.63,-6.19
510,-5.16,-2.54,-7.61
520,-2.43,-3.21,-8.83
530,0.32,-3.65,-9.84
540,2.92,-3.97,-10.84
550,5.21,-4.4,-12.22
560,7.34,-4.87,-14.13
570,9.2,-5.2,-16.29
580,10.92,-5.39,-18.37
590,12.34,-5.59,-19.94
600,13.61,-5.56,-20.82
610,14.37,-5.31,-20.84
620,14.59,-5.04,-19.95
630,14.23,-4.73,-18.56
640,13.36,-4.36,-16.84
650,12.19,-4.11,-15.04
660,10.83,-3.99,-13.29
670,9.17,-3.97,-11.76
680,7.38,-3.93,-10.59
690,5.66,-3.81,-9.71
700,4.11,-3.61,-9.04
710,2.7,-3.57,-8.61
720,0.89,-3.45,-9.01
730,-0.82,-3.36,-7.54
740,-3.31,-2.66,-7.96
750,-6.43,-1.84,-7.82
760,-9.43,-0.59,-7.16
770,-13.33,0.89,-7.12
780,-16.35,2.15,-6.15
790,-19.25,3.22,-6.05
800,-20.78,4.06,-5.02
810,-21.97,4.7,-4.99
820,-22.55,4.97,-5.01
830,-22.91,5.23,-5.71
840,-22.91,5.49,-6.47
850,-22.64,5.66,-7.32
860,-21.73,5.44,-7.66
870,-20.38,4.8,-7.83
880,-18.58,3.79,-7.81
890,-16.64,2.56,-7.94
900,-14.49,1.43,-8.28
910,-12.26,0.38,-8.56
920,-10.11,-0.7,-8.85
930,-8.03,-1.65,-9.21
940,-5.97,-2.38,-9.3
950,-5.26,-3.19,-13.44
960,-2.91,-3.49,-12.3
970,-1.54,-3.8,-12.89
980,-0.33,-3.9,-13.99
990,0.84,-3.85,-15.21
1000,1.88,-3.87,-16.43
