timestamp,x,y,z
0,-3.45,2.04,-9.58
10,-3.43,1.99,-9.47
20,-3.46,2.01,-9.39
30,-3.51,2.05,-9.34
40,-3.6,2.06,-9.34
50,-3.68,2.13,-9.36
60,-3.72,2.22,-9.39
70,-3.68,2.31,-9.37
80,-3.63,2.33,-9.33
90,-3.55,2.35,-9.28
100,-3.51,2.36,-9.23
110,-3.5,2.32,-9.2
120,-3.52,2.27,-9.2
130,-3.59,2.25,-9.25
140,-3.68,2.27,-9.31
150,-3.73,2.36,-9.4
160,-3.73,2.51,-9.47
170,-3.67,2.6,-9.52
180,-3.59,2.68,-9.49
190,-3.53,2.75,-9.51
200,-3.56,2.8,-9.57
210,-3.62,2.8,-9.71
220,-3.71,2.83,-9.86
230,-3.81,2.91,-10.08
240,-3.85,3.08,-10.3
250,-3.83,3.32,-10.63
260,-3.79,3.59,-10.93
270,-3.7,3.86,-11.31
280,-3.64,3.98,-11.6
290,-3.54,4.04,-11.85
300,-3.35,4.16,-12.01
310,-3.11,4.32,-12.11
320,-2.96,4.48,-12.12
330,-2.85,4.52,-12.11
340,-2.82,4.43,-12.06
350,-2.8,4.35,-11.96
360,-2.75,4.38,-11.89
370,-2.59,4.51,-11.71
380,-2.49,4.67,-11.57
390,-2.52,4.63,-11.43
400,-2.68,4.44,-11.22
410,-2.96,4.16,-11.02
420,-3.27,3.79,-10.63
430,-3.57,3.54,-10.11
440,-3.74,3.36,-9.48
450,-3.69,3.34,-8.9
460,-3.66,3.33,-8.49
470,-3.67,3.25,-8.08
480,-3.89,2.96,-7.78
490,-4.27,2.7,-7.45
500,-4.8,2.61,-7.02
510,-5.48,2.59,-6.5
520,-6.25,2.69,-5.84
530,-7.08,2.87,-4.95
540,-7.94,3.0,-3.93
550,-8.83,3.11,-2.78
560,-9.67,3.06,-1.53
570,-10.51,2.91,-0.24
580,-11.43,2.94,0.89
590,-12.52,3.15,1.76
600,-13.64,3.41,2.66
610,-14.66,3.7,3.45
620,-15.15,3.7,4.0
630,-15.27,3.49,4.38
640,-14.88,3.07,4.56
650,-13.97,2.39,4.43
660,-12.65,1.53,3.99
670,-10.88,0.54,3.06
680,-8.81,-0.59,1.65
690,-6.47,-1.94,-0.28
700,-3.69,-3.14,-3.0
710,-1.07,-4.37,-5.79
720,1.79,-5.74,-9.04
730,4.85,-7.07,-12.7
740,8.08,-8.01,-16.47
750,11.31,-8.71,-20.07
760,14.23,-9.28,-23.51
770,16.48,-9.7,-26.31
780,18.04,-9.7,-27.81
790,18.57,-9.31,-28.05
800,17.93,-8.69,-27.24
810,16.31,-7.9,-25.3
820,13.98,-7.19,-22.66
830,11.26,-6.39,-19.85
840,8.64,-5.92,-17.13
850,6.3,-5.68,-14.78
860,4.07,-5.22,-13.07
870,1.98,-4.59,-11.94
880,0.07,-3.8,-11.98
890,-2.11,-3.08,-11.0
900,-4.23,-2.46,-10.24
910,-7.59,-1.63,-9.91
920,-11.08,-0.6,-9.13
930,-14.07,0.66,-8.41
940,-16.89,1.93,-7.51
950,-17.31,2.74,-2.95
960,-20.59,3.79,-3.28
970,-21.5,4.49,-3.31
980,-22.01,5.06,-3.19
990,-22.65,5.51,-2.89
1000,-22.75,5.75,-2.62
