timestamp,x,y,z
0,1.7,2.6,-11.48
10,1.74,2.66,-11.29
20,1.76,2.79,-11.22
30,1.8,2.9,-11.29
40,1.83,2.9,-11.33
50,1.89,2.85,-11.26
60,1.89,2.8,-11.01
70,1.89,2.85,-10.93
80,1.83,2.99,-10.93
90,1.66,3.03,-11.0
100,1.46,3.05,-10.89
110,1.27,3.09,-10.54
120,1.21,3.11,-10.03
130,1.15,3.07,-9.65
140,1.35,3.3,-9.5
150,1.41,3.5,-9.26
160,1.35,3.4,-9.03
170,1.29,3.43,-8.81
180,1.22,3.44,-8.73
190,1.14,3.64,-8.35
200,1.08,3.7,-8.34
210,1.03,3.55,-8.14
220,1.12,3.45,-7.94
230,1.33,3.41,-7.8
240,1.55,3.41,-7.64
250,1.66,3.43,-7.52
260,1.7,3.45,-7.42
270,1.61,3.45,-7.39
280,1.47,3.48,-7.2
290,1.27,3.47,-6.89
300,0.96,3.44,-6.65
310,0.53,3.42,-6.44
320,0.1,3.34,-6.21
330,-0.19,3.2,-5.92
340,-0.31,3.04,-5.41
350,-0.39,2.79,-4.67
360,-0.59,2.45,-3.63
370,-1.08,2.14,-2.62
380,-2.02,1.96,-1.7
390,-3.0,1.89,-0.84
400,-4.03,1.79,-0.13
410,-4.8,1.62,0.21
420,-5.29,1.22,0.14
430,-5.04,0.38,-0.13
440,-4.13,-0.82,-0.42
450,-2.82,-2.11,-0.63
460,-1.21,-3.45,-0.93
470,-0.34,-4.68,-2.46
480,0.01,-5.15,-5.21
490,-0.28,-4.89,-8.46
500,-0.79,-4.72,-12.07
510,-0.6,-4.79,-14.89
520,0.18,-4.32,-17.32
530,1.19,-3.89,-19.29
540,2.46,-3.45,-20.46
550,3.45,-2.75,-20.95
560,3.83,-2.11,-21.07
570,3.69,-1.31,-21.04
580,3.12,-0.77,-20.99
590,2.72,-0.21,-21.22
600,2.59,0.37,-21.63
610,2.71,0.76,-21.88
620,2.82,1.03,-21.89
630,2.97,1.22,-22.01
640,3.15,1.38,-22.0
650,3.12,1.53,-21.72
660,2.93,1.71,-21.33
670,2.47,1.96,-20.87
680,1.95,2.01,-20.42
690,1.59,2.09,-20.07
700,1.44,1.95,-19.89
710,1.7,1.64,-19.74
720,2.39,1.05,-19.46
730,3.28,0.37,-19.0
740,3.94,-0.12,-18.17
750,3.7,-0.56,-17.4
760,3.05,-0.7,-16.98
770,2.43,-0.46,-16.33
780,2.19,-0.64,-15.59
790,2.6,-1.03,-14.69
800,3.34,-1.48,-13.74
810,4.08,-1.94,-12.58
820,4.69,-2.17,-10.8
830,4.52,-2.21,-9.41
840,3.72,-1.92,-8.02
850,2.75,-1.49,-6.74
860,2.27,-1.15,-5.64
870,2.15,-0.82,-4.51
880,2.67,-0.64,-3.56
890,3.27,-0.59,-2.71
900,3.71,-0.57,-2.17
910,3.76,-0.51,-1.77
920,3.52,-0.31,-1.36
930,3.22,-0.05,-1.02
940,3.01,0.31,-0.66
950,3.01,0.7,-0.69
960,3.28,1.0,-1.01
970,3.66,1.2,-1.62
980,4.08,1.31,-2.36
990,4.3,1.46,-2.81
1000,4.43,1.65,-3.04
