timestamp,x,y,z
0,-1.63,5.17,-10.14
10,-1.75,5.33,-10.22
20,-1.94,5.49,-10.26
30,-2.13,5.5,-10.18
40,-2.21,5.47,-10.03
50,-2.16,5.37,-9.81
60,-2.02,5.37,-9.59
70,-1.86,5.44,-9.41
80,-1.76,5.49,-9.23
90,-1.72,5.5,-9.11
100,-1.74,5.53,-9.03
110,-1.84,5.51,-8.94
120,-1.92,5.47,-8.82
130,-2.0,5.41,-8.64
140,-2.07,5.41,-8.43
150,-2.15,5.41,-8.21
160,-2.29,5.45,-8.01
170,-2.48,5.43,-7.82
180,-2.64,5.36,-7.66
190,-2.77,5.25,-7.58
200,-2.81,5.14,-7.5
210,-2.79,5.05,-7.42
220,-2.75,5.0,-7.33
230,-2.76,4.99,-7.24
240,-2.87,4.98,-7.06
250,-3.04,4.97,-6.79
260,-3.16,4.94,-6.42
270,-3.26,4.83,-5.92
280,-3.29,4.66,-5.36
290,-3.47,4.39,-4.84
300,-3.66,4.13,-4.03
310,-3.95,3.89,-3.13
320,-4.19,3.53,-2.22
330,-4.31,3.06,-1.14
340,-4.37,2.52,-0.1
350,-4.54,1.7,0.79
360,-4.6,1.01,1.6
370,-4.67,0.4,2.42
380,-4.89,-0.21,3.16
390,-5.21,-0.84,3.86
400,-5.67,-1.43,4.31
410,-6.35,-2.06,4.2
420,-6.82,-2.74,3.2
430,-7.03,-3.63,1.46
440,-6.68,-4.3,-0.74
450,-5.92,-4.81,-3.17
460,-4.96,-5.08,-5.76
470,-3.9,-5.2,-8.31
480,-3.07,-5.18,-10.8
490,-2.51,-4.93,-12.87
500,-2.24,-4.45,-14.66
510,-2.68,-4.04,-15.92
520,-3.6,-3.62,-16.64
530,-4.63,-3.17,-17.13
540,-5.56,-2.77,-17.62
550,-6.11,-2.1,-18.32
560,-6.06,-1.63,-18.8
570,-5.79,-1.25,-19.38
580,-5.45,-0.97,-19.72
590,-5.14,-0.73,-19.77
600,-5.14,-0.57,-19.62
610,-5.46,-0.44,-19.26
620,-5.91,-0.21,-18.83
630,-6.34,0.11,-18.44
640,-6.54,0.5,-18.16
650,-6.48,0.97,-17.93
660,-6.33,1.21,-17.7
670,-6.07,1.28,-17.39
680,-5.76,1.32,-16.98
690,-5.87,1.05,-16.35
700,-5.75,0.88,-15.67
710,-5.86,0.54,-15.1
720,-6.02,0.26,-14.65
730,-6.17,0.22,-14.33
740,-6.34,0.28,-14.12
750,-6.56,0.28,-13.93
760,-6.76,0.24,-13.84
770,-6.89,0.21,-13.64
780,-6.99,0.09,-13.38
790,-7.09,-0.13,-13.04
800,-7.18,-0.3,-12.73
810,-7.18,-0.31,-12.52
820,-7.11,-0.18,-12.42
830,-7.07,-0.01,-12.3
840,-6.93,0.11,-12.14
850,-6.58,0.2,-11.84
860,-6.09,0.17,-11.35
870,-5.57,0.06,-10.77
880,-5.04,-0.05,-10.18
890,-4.53,-0.14,-9.54
900,-4.12,-0.14,-8.97
910,-3.64,-0.03,-8.51
920,-3.09,0.13,-8.14
930,-2.48,0.26,-7.8
940,-1.88,0.45,-7.42
950,-1.31,0.56,-7.02
960,-0.77,0.64,-6.6
970,-0.35,0.59,-6.21
980,0.03,0.55,-5.89
990,0.39,0.59,-5.68
1000,0.77,0.68,-5.55
