timestamp,x,y,z
0,1.1,3.9,-9.36
10,1.04,4.06,-9.5
20,0.94,4.05,-9.6
30,0.9,4.1,-9.68
40,0.83,4.09,-9.61
50,0.85,4.05,-9.45
60,0.86,4.07,-9.29
70,0.9,4.03,-9.18
80,0.96,4.1,-9.09
90,0.98,4.21,-9.04
100,1.06,4.29,-9.01
110,1.04,4.2,-8.94
120,1.12,4.22,-8.76
130,1.17,4.18,-8.6
140,1.11,4.06,-8.41
150,1.05,3.96,-8.37
160,0.98,4.01,-8.66
170,0.91,4.05,-9.07
180,0.95,4.03,-9.49
190,1.03,3.98,-9.92
200,1.02,3.87,-10.17
210,0.96,3.74,-10.27
220,0.86,3.65,-10.19
230,0.76,3.62,-9.94
240,0.64,3.6,-9.47
250,0.41,3.58,-8.93
260,0.04,3.56,-8.36
270,-0.56,3.54,-7.79
280,-1.26,3.42,-7.12
290,-1.75,3.2,-6.21
300,-2.19,2.89,-5.1
310,-2.57,2.67,-3.99
320,-2.99,2.34,-2.83
330,-3.51,1.85,-1.53
340,-3.74,1.43,-0.35
350,-4.31,0.85,1.13
360,-4.57,0.53,2.38
370,-5.21,0.14,3.61
380,-5.71,-0.34,4.44
390,-6.27,-1.21,4.51
400,-6.56,-2.59,3.34
410,-6.47,-4.14,0.94
420,-5.91,-5.35,-2.32
430,-4.69,-6.44,-5.89
440,-2.86,-7.51,-8.88
450,-0.94,-8.4,-12.53
460,0.64,-8.54,-14.69
470,2.23,-8.53,-16.94
480,2.71,-8.38,-18.53
490,3.24,-8.11,-19.0
500,2.72,-7.62,-18.93
510,1.97,-7.26,-18.9
520,1.04,-6.87,-18.97
530,0.5,-6.05,-19.03
540,0.12,-5.45,-19.12
550,0.05,-5.0,-19.21
560,0.26,-4.45,-19.27
570,0.59,-3.98,-19.34
580,0.77,-3.74,-19.16
590,1.05,-3.46,-18.64
600,1.22,-3.33,-18.09
610,1.29,-3.11,-17.6
620,1.36,-2.74,-17.15
630,1.26,-2.32,-16.75
640,1.14,-1.97,-16.14
650,0.91,-1.66,-15.78
660,0.84,-1.3,-15.2
670,0.9,-1.34,-14.57
680,0.95,-1.46,-14.01
690,0.88,-1.55,-13.58
700,0.78,-1.78,-13.25
710,0.68,-2.0,-13.1
720,0.42,-2.07,-13.07
730,0.07,-2.12,-13.03
740,-0.45,-2.25,-13.17
750,-0.95,-2.4,-13.34
760,-1.28,-2.46,-13.72
770,-1.7,-2.53,-14.19
780,-2.04,-2.53,-14.69
790,-2.34,-2.49,-15.17
800,-2.64,-2.57,-15.55
810,-2.98,-2.63,-15.89
820,-3.41,-2.63,-16.26
830,-3.97,-2.68,-16.5
840,-4.3,-2.66,-16.53
850,-4.28,-2.6,-16.06
860,-4.05,-2.57,-15.12
870,-3.8,-2.65,-13.96
880,-3.48,-2.89,-12.89
890,-2.92,-3.01,-11.92
900,-2.12,-3.05,-10.99
910,-1.31,-3.02,-10.09
920,-0.41,-2.93,-9.25
930,0.55,-2.71,-8.26
940,1.5,-2.45,-7.06
950,2.29,-2.24,-5.87
960,2.84,-1.99,-4.87
970,3.38,-1.7,-4.17
980,3.79,-1.32,-3.79
990,4.09,-0.94,-3.71
1000,4.23,-0.57,-3.76
