timestamp,x,y,z
0,1.18,1.33,-11.72
10,1.59,1.47,-12.04
20,2.02,1.81,-12.53
30,2.3,2.04,-13.07
40,2.49,2.2,-13.37
50,2.54,2.32,-13.4
60,2.56,2.48,-13.24
70,2.45,2.6,-12.83
80,2.29,2.56,-12.38
90,2.2,2.61,-12.0
100,2.22,2.74,-11.72
110,2.35,2.93,-11.68
120,2.54,3.23,-11.74
130,2.6,3.42,-11.83
140,2.38,3.53,-11.94
150,1.83,3.59,-12.0
160,1.0,3.68,-11.99
170,0.0,3.84,-11.74
180,-1.01,4.07,-11.15
190,-2.02,4.32,-10.19
200,-2.98,4.41,-8.91
210,-3.81,4.49,-7.43
220,-4.79,4.58,-5.79
230,-5.6,4.47,-5.5
240,-6.35,3.88,-1.97
250,-7.22,3.55,-0.85
260,-8.06,2.94,0.17
270,-8.57,2.52,1.21
280,-8.94,2.21,2.47
290,-9.33,1.43,3.77
300,-9.66,0.44,5.15
310,-9.87,-0.52,6.62
320,-9.99,-1.39,7.78
330,-9.83,-1.99,8.36
340,-9.65,-2.51,8.32
350,-9.22,-3.11,7.6
360,-8.7,-3.9,6.37
370,-7.78,-4.92,5.81
380,-7.65,-5.66,1.11
390,-6.95,-6.93,-0.02
400,-6.0,-7.71,-2.01
410,-5.13,-8.27,-4.36
420,-4.36,-8.71,-6.9
430,-3.93,-9.04,-9.72
440,-4.02,-9.17,-12.84
450,-4.22,-8.73,-16.1
460,-4.43,-7.71,-19.41
470,-4.59,-6.68,-22.39
480,-4.48,-5.55,-24.7
490,-4.18,-4.75,-26.33
500,-3.78,-4.15,-27.34
510,-3.87,-3.73,-28.26
520,-4.3,-3.39,-29.17
530,-4.7,-2.31,-29.85
540,-5.34,-0.97,-30.29
550,-6.0,0.29,-30.35
560,-6.34,1.54,-29.88
570,-6.46,2.53,-28.73
580,-6.52,3.05,-27.07
590,-6.9,3.4,-25.12
600,-7.83,3.45,-23.24
610,-8.95,3.36,-21.72
620,-9.95,3.2,-20.6
630,-10.75,2.73,-19.61
640,-10.99,2.21,-18.72
650,-10.85,1.68,-18.04
660,-10.32,1.45,-17.35
670,-9.8,1.09,-16.46
680,-9.53,0.41,-15.61
690,-9.23,-0.22,-14.68
700,-8.63,-0.73,-13.49
710,-7.95,-1.32,-12.26
720,-7.18,-1.98,-11.05
730,-6.16,-2.34,-9.62
740,-5.19,-2.55,-8.17
750,-4.32,-2.82,-6.78
760,-3.41,-2.8,-5.54
770,-2.58,-2.6,-4.51
780,-1.83,-2.53,-3.74
790,-1.04,-2.31,-3.21
800,-0.26,-1.89,-2.76
810,0.48,-1.56,-2.25
820,1.09,-1.27,-1.9
830,1.71,-0.82,-1.76
840,2.21,-0.29,-1.81
850,2.55,0.2,-2.0
860,2.79,0.61,-2.26
870,2.96,1.06,-2.56
880,3.03,1.4,-2.94
890,3.07,1.66,-3.38
900,3.04,1.94,-3.77
910,2.93,2.18,-4.08
920,2.73,2.27,-4.39
930,2.56,2.53,-4.67
940,2.31,2.81,-5.04
950,1.96,3.13,-5.51
960,1.62,3.51,-5.86
970,1.31,3.86,-6.17
980,1.05,4.1,-6.46
990,0.76,4.3,-6.84
1000,0.57,4.59,-7.26
