timestamp,x,y,z
0,-2.09,3.38,-9.72
10,-2.24,3.37,-9.74
20,-2.59,3.46,-9.76
30,-3.03,3.71,-9.79
40,-3.58,3.97,-9.79
50,-4.09,4.12,-9.7
60,-4.52,4.24,-9.63
70,-4.91,4.31,-9.53
80,-5.14,4.22,-9.46
90,-5.18,4.13,-9.4
100,-5.04,4.08,-9.43
110,-4.71,4.07,-9.49
120,-4.29,4.17,-9.69
130,-3.92,4.2,-9.88
140,-3.64,4.12,-10.07
150,-3.45,4.02,-10.18
160,-3.31,3.93,-10.18
170,-3.2,3.87,-10.08
180,-3.11,3.85,-9.96
190,-3.0,3.9,-9.79
200,-2.82,4.04,-9.69
210,-2.63,4.27,-9.8
220,-2.5,4.5,-10.15
230,-2.47,4.59,-10.55
240,-2.44,4.54,-10.86
250,-2.36,4.45,-10.99
260,-2.32,4.36,-10.87
270,-2.26,4.31,-10.53
280,-2.21,4.21,-10.05
290,-2.2,4.12,-9.45
300,-2.18,4.01,-8.71
310,-2.15,3.86,-7.96
320,-2.09,3.72,-7.12
330,-2.18,3.54,-6.19
340,-2.34,3.18,-5.02
350,-2.52,2.85,-3.57
360,-2.55,2.66,-1.92
370,-2.64,2.19,-0.36
380,-2.76,1.63,0.86
390,-2.9,1.11,1.85
400,-3.1,0.45,2.85
410,-3.33,-0.28,3.85
420,-3.57,-0.94,4.61
430,-3.89,-1.39,4.81
440,-4.37,-1.7,4.25
450,-5.19,-2.26,2.92
460,-5.88,-2.8,1.03
470,-6.28,-3.19,-1.11
480,-6.42,-3.61,-3.5
490,-6.11,-3.79,-5.74
500,-5.64,-3.71,-7.66
510,-5.41,-3.68,-9.6
520,-5.15,-3.54,-11.32
530,-4.96,-3.53,-12.86
540,-4.77,-3.22,-14.48
550,-4.58,-2.55,-16.0
560,-4.68,-2.01,-17.37
570,-4.84,-1.63,-18.43
580,-4.78,-1.15,-19.16
590,-4.62,-0.78,-19.66
600,-4.3,-0.53,-20.12
610,-3.81,-0.11,-20.48
620,-3.36,0.28,-20.74
630,-3.05,0.68,-20.87
640,-2.89,1.25,-20.69
650,-2.96,1.82,-20.26
660,-3.56,2.03,-19.69
670,-4.15,2.54,-19.07
680,-4.76,3.25,-18.4
690,-5.43,3.8,-17.74
700,-6.09,4.02,-17.08
710,-6.77,3.93,-16.57
720,-7.58,3.67,-16.2
730,-8.43,3.26,-16.06
740,-9.17,2.97,-16.02
750,-9.73,2.71,-16.0
760,-10.11,2.37,-15.9
770,-10.24,2.15,-15.78
780,-10.25,1.86,-15.67
790,-10.14,1.39,-15.58
800,-9.9,0.89,-15.48
810,-9.43,0.35,-15.41
820,-8.64,0.11,-15.16
830,-7.76,-0.25,-14.81
840,-6.83,-0.78,-14.24
850,-5.91,-1.24,-13.54
860,-4.96,-1.74,-12.66
870,-4.05,-2.23,-11.61
880,-3.17,-2.57,-10.57
890,-2.38,-2.69,-9.63
900,-1.58,-2.58,-8.74
910,-0.88,-2.37,-7.85
920,-0.26,-2.14,-6.98
930,0.24,-1.92,-6.14
940,0.69,-1.66,-5.27
950,1.05,-1.38,-4.42
960,1.34,-1.19,-3.62
970,1.56,-1.01,-2.9
980,1.73,-0.68,-2.24
990,1.83,-0.36,-1.7
1000,1.88,0.02,-1.44
