timestamp,x,y,z
0,-1.87,3.78,-9.39
10,-1.88,3.79,-9.35
20,-1.91,3.77,-9.36
30,-1.91,3.78,-9.43
40,-1.89,3.76,-9.51
50,-1.83,3.74,-9.71
60,-1.74,3.75,-9.9
70,-1.61,3.72,-10.16
80,-1.43,3.62,-10.48
90,-1.15,3.5,-10.88
100,-0.85,3.45,-11.34
110,-0.64,3.39,-11.84
120,-0.48,3.44,-12.27
130,-0.41,3.56,-12.73
140,-0.53,3.67,-13.31
150,-0.67,3.84,-13.95
160,-0.79,4.0,-14.53
170,-0.92,4.1,-14.86
180,-1.0,4.23,-14.78
190,-1.04,4.32,-14.28
200,-1.16,4.43,-13.57
210,-1.45,4.51,-12.83
220,-1.89,4.58,-11.99
230,-2.28,4.67,-11.12
240,-2.64,4.76,-10.27
250,-2.94,4.85,-9.41
260,-3.07,4.98,-8.6
270,-3.11,5.06,-7.77
280,-3.09,5.13,-6.96
290,-3.03,5.18,-6.18
300,-2.91,5.17,-5.46
310,-2.79,5.13,-4.77
320,-2.66,5.13,-4.13
330,-2.56,5.16,-3.49
340,-2.43,5.21,-2.89
350,-2.34,5.26,-2.21
360,-2.2,5.25,-1.48
370,-2.09,5.19,-0.71
380,-2.0,5.1,0.04
390,-1.93,4.92,0.71
400,-1.86,4.71,1.34
410,-1.85,4.44,1.93
420,-1.91,4.11,2.38
430,-2.04,3.74,2.65
440,-2.17,3.39,2.69
450,-2.31,3.01,2.56
460,-2.4,2.62,2.35
470,-2.52,2.24,1.99
480,-2.69,1.74,1.65
490,-2.83,1.26,1.45
500,-3.02,0.78,1.38
510,-3.26,0.3,1.52
520,-3.56,-0.22,1.79
530,-3.94,-0.89,1.98
540,-4.36,-1.7,1.94
550,-4.71,-2.57,1.38
560,-4.85,-3.36,0.52
570,-4.8,-4.12,-0.44
580,-4.85,-4.86,-1.5
590,-5.17,-5.6,-2.84
600,-5.59,-6.15,-4.53
610,-6.32,-6.62,-6.48
620,-7.4,-7.23,-8.85
630,-8.23,-7.7,-11.71
640,-8.77,-8.11,-14.92
650,-9.11,-8.43,-18.2
660,-9.11,-8.65,-21.39
670,-8.98,-8.37,-24.24
680,-8.98,-7.57,-26.62
690,-9.08,-6.39,-28.32
700,-9.34,-5.07,-28.78
710,-9.73,-4.13,-28.39
720,-9.89,-3.22,-27.29
730,-9.63,-2.3,-25.61
740,-9.13,-1.51,-23.63
750,-8.54,-0.73,-21.55
760,-7.99,-0.19,-19.5
770,-7.69,0.04,-17.67
780,-7.69,0.07,-16.46
790,-7.86,0.15,-15.8
800,-7.87,0.31,-15.38
810,-7.96,0.17,-15.09
820,-8.18,0.04,-14.9
830,-8.65,-0.06,-14.75
840,-9.51,-0.13,-14.72
850,-10.47,-0.13,-14.9
860,-11.52,-0.33,-15.21
870,-11.96,-0.6,-15.54
880,-11.56,-0.95,-15.85
890,-10.59,-1.47,-15.91
900,-9.49,-2.06,-15.71
910,-8.6,-2.77,-15.33
920,-7.61,-3.07,-14.79
930,-6.91,-3.26,-14.1
940,-6.13,-3.23,-13.25
950,-5.16,-2.92,-12.19
960,-4.14,-2.66,-10.81
970,-3.1,-2.49,-9.19
980,-2.09,-2.34,-7.48
990,-1.24,-2.22,-5.82
1000,-0.51,-1.99,-4.41
