timestamp,x,y,z
0,-0.38,4.07,-11.69
10,-0.39,3.87,-11.38
20,-0.41,3.73,-11.06
30,-0.52,3.69,-10.84
40,-0.67,3.74,-10.74
50,-0.83,3.91,-10.62
60,-1.04,4.1,-10.47
70,-1.24,4.28,-10.25
80,-1.35,4.51,-10.0
90,-1.41,4.68,-9.73
100,-1.47,4.75,-9.55
110,-1.51,4.73,-9.43
120,-1.58,4.68,-9.4
130,-1.63,4.59,-9.36
140,-1.59,4.58,-9.28
150,-1.51,4.64,-9.16
160,-1.49,4.73,-9.03
170,-1.5,4.76,-8.86
180,-1.56,4.8,-8.72
190,-1.61,4.81,-8.53
200,-1.69,4.81,-8.24
210,-1.77,4.83,-7.82
220,-1.88,4.83,-7.28
230,-2.01,4.72,-6.67
240,-2.13,4.55,-5.94
250,-2.27,4.36,-5.14
260,-2.42,4.19,-4.28
270,-2.67,4.04,-3.29
280,-3.01,3.95,-2.2
290,-3.35,3.81,-0.97
300,-3.67,3.47,0.24
310,-3.88,2.84,1.32
320,-3.95,2.25,2.12
330,-3.85,1.83,2.86
340,-3.71,1.42,3.82
350,-3.74,0.78,4.76
360,-3.99,0.0,5.23
370,-4.42,-0.55,4.95
380,-4.94,-0.85,4.14
390,-5.41,-1.34,2.77
400,-5.64,-1.78,1.11
410,-5.77,-2.72,-0.57
420,-5.73,-3.94,-2.48
430,-5.36,-4.86,-4.54
440,-4.93,-5.62,-6.8
450,-4.5,-5.86,-9.25
460,-4.15,-5.6,-11.66
470,-4.11,-5.45,-13.78
480,-4.09,-5.28,-15.73
490,-4.13,-5.33,-17.32
500,-4.22,-5.28,-18.51
510,-4.41,-4.93,-19.91
520,-4.54,-4.2,-21.27
530,-4.65,-3.51,-22.18
540,-4.62,-2.9,-22.77
550,-4.57,-2.24,-23.04
560,-4.51,-1.83,-23.03
570,-4.45,-1.44,-22.75
580,-4.39,-0.88,-22.35
590,-4.26,-0.37,-21.78
600,-4.03,0.21,-20.98
610,-3.84,0.79,-20.02
620,-3.66,1.29,-19.12
630,-3.82,1.78,-18.26
640,-4.19,2.12,-17.43
650,-4.74,2.34,-16.93
660,-5.32,2.37,-16.87
670,-5.8,2.38,-17.21
680,-6.14,2.34,-17.83
690,-6.11,2.26,-18.45
700,-5.89,2.1,-18.87
710,-5.56,1.86,-18.92
720,-5.14,1.41,-18.61
730,-4.71,0.87,-18.01
740,-4.3,0.45,-17.33
750,-4.03,0.2,-16.74
760,-3.99,0.1,-16.14
770,-3.73,-0.05,-15.33
780,-3.22,-0.27,-14.29
790,-2.58,-0.54,-13.19
800,-1.97,-0.83,-12.16
810,-1.35,-1.0,-11.1
820,-0.69,-0.96,-10.04
830,-0.02,-0.97,-8.82
840,0.68,-1.01,-7.45
850,1.3,-0.97,-6.08
860,1.82,-0.89,-4.86
870,2.01,-0.76,-3.89
880,1.89,-0.56,-3.24
890,1.88,-0.23,-2.75
900,1.94,0.06,-2.38
910,2.0,0.35,-2.14
920,2.12,0.59,-1.99
930,2.32,0.86,-1.84
940,2.43,1.12,-1.85
950,2.37,1.37,-1.98
960,2.24,1.57,-2.25
970,2.14,1.83,-2.58
980,2.09,2.12,-2.93
990,2.07,2.28,-3.29
1000,2.08,2.47,-3.69
