timestamp,x,y,z
0,3.8,2.85,-9.4
10,3.86,2.8,-9.42
20,3.94,2.77,-9.44
30,4.0,2.8,-9.46
40,4.04,2.83,-9.46
50,4.1,2.85,-9.47
60,4.16,2.87,-9.46
70,4.2,2.89,-9.43
80,4.23,2.89,-9.41
90,4.27,2.94,-9.43
100,4.3,2.99,-9.44
110,4.35,3.03,-9.5
120,4.43,3.09,-9.61
130,4.49,3.14,-9.69
140,4.53,3.2,-9.73
150,4.55,3.27,-9.77
160,4.48,3.38,-9.79
170,4.36,3.45,-9.85
180,4.2,3.52,-9.92
190,3.95,3.59,-10.02
200,3.59,3.64,-10.12
210,3.15,3.66,-10.19
220,2.71,3.65,-10.26
230,2.21,3.74,-10.37
240,1.69,3.79,-10.5
250,1.13,3.99,-10.66
260,0.6,4.07,-10.81
270,0.04,4.25,-10.94
280,-0.54,4.42,-10.97
290,-1.09,4.57,-10.85
300,-1.55,4.64,-10.52
310,-1.91,4.62,-10.11
320,-2.1,4.49,-9.6
330,-2.14,4.31,-9.15
340,-2.12,4.1,-8.78
350,-1.99,3.95,-8.47
360,-1.86,3.9,-8.28
370,-1.8,3.84,-8.14
380,-1.75,3.79,-8.04
390,-1.51,3.81,-7.89
400,-1.2,3.73,-7.67
410,-0.82,3.56,-7.38
420,-0.4,3.34,-7.08
430,-0.05,3.16,-6.84
440,0.28,3.05,-6.63
450,0.51,2.99,-6.42
460,0.66,2.92,-6.16
470,0.76,2.8,-5.86
480,0.88,2.6,-5.55
490,0.99,2.32,-5.2
500,0.8,1.23,-4.39
510,1.99,-1.28,-0.32
520,1.16,2.07,-6.73
530,0.73,2.12,-5.38
540,0.41,0.93,-4.77
550,1.6,1.24,-4.54
560,1.35,0.57,-4.51
570,1.2,-0.2,-4.89
580,1.28,-0.69,-5.09
590,1.54,-1.21,-5.31
600,1.78,-1.77,-5.72
610,2.17,-2.44,-6.32
620,2.98,-3.17,-6.97
630,3.95,-3.58,-7.57
640,4.57,-3.77,-8.2
650,4.74,-3.88,-8.75
660,4.65,-4.02,-9.09
670,4.33,-4.18,-9.42
680,3.94,-4.23,-9.7
690,3.47,-4.24,-9.89
700,2.98,-4.48,-10.0
710,2.7,-4.81,-10.26
720,2.78,-5.38,-10.81
730,3.15,-6.17,-11.66
740,3.84,-6.92,-12.72
750,4.89,-7.38,-14.06
760,6.13,-7.68,-15.46
770,7.3,-8.08,-16.73
780,8.46,-8.39,-17.71
790,9.16,-8.6,-18.61
800,9.37,-8.82,-19.31
810,9.15,-8.77,-19.91
820,8.42,-8.87,-20.39
830,7.42,-8.8,-20.65
840,6.45,-8.42,-20.67
850,5.51,-7.9,-20.57
860,4.68,-7.51,-20.52
870,3.28,-7.58,-20.39
880,0.6,-1.7,-25.2
890,4.01,-6.18,-14.36
900,1.63,-6.47,-18.95
910,0.15,-8.76,-20.56
920,-0.31,-7.09,-20.37
930,-1.32,-6.45,-19.77
940,-2.13,-6.15,-18.87
950,-2.75,-5.51,-18.3
960,-3.32,-4.62,-18.09
970,-3.5,-4.08,-17.74
980,-3.5,-3.86,-16.91
990,-3.54,-4.03,-16.21
1000,-3.58,-4.41,-15.59
