timestamp,x,y,z
0,-2.79,3.82,-8.39
10,-2.94,3.72,-8.07
20,-3.05,3.6,-7.72
30,-3.06,3.51,-7.34
40,-3.02,3.42,-6.95
50,-2.9,3.3,-6.61
60,-2.76,3.17,-6.27
70,-2.59,2.98,-5.96
80,-2.39,2.74,-5.71
90,-2.19,2.44,-5.55
100,-1.92,2.12,-5.5
110,-1.66,1.83,-5.55
120,-1.35,1.56,-5.68
130,-1.02,1.26,-5.91
140,-0.67,1.0,-6.17
150,-0.32,0.71,-6.5
160,0.03,0.3,-6.91
170,0.42,-0.06,-7.31
180,0.77,-0.35,-7.74
190,1.04,-0.65,-8.17
200,1.29,-0.8,-8.62
210,1.44,-1.05,-9.2
220,1.57,-1.27,-9.87
230,1.77,-1.3,-10.61
240,2.02,-1.39,-11.22
250,2.25,-1.38,-11.6
260,2.47,-1.26,-11.76
270,2.54,-1.22,-11.7
280,2.42,-1.37,-11.59
290,2.23,-1.43,-11.43
300,1.93,-1.55,-11.42
310,1.58,-1.75,-11.66
320,1.36,-1.75,-12.14
330,1.29,-1.5,-12.63
340,1.26,-1.32,-13.04
350,1.17,-1.31,-13.35
360,0.98,-1.51,-13.66
370,0.83,-1.65,-13.85
380,0.78,-1.61,-14.0
390,0.66,-1.59,-14.19
400,0.57,-1.51,-14.41
410,0.35,-1.5,-14.6
420,0.01,-1.64,-14.98
430,-0.38,-1.82,-15.29
440,-0.75,-1.87,-15.66
450,-1.19,-1.8,-16.01
460,-1.67,-1.66,-16.4
470,-2.13,-1.57,-16.74
480,-2.58,-1.34,-17.08
490,-2.93,-1.09,-17.37
500,-3.19,-0.87,-17.51
510,-3.45,-0.66,-17.52
520,-3.69,-0.61,-17.31
530,-3.91,-0.61,-16.99
540,-4.14,-0.44,-16.52
550,-4.51,-0.3,-16.01
560,-5.02,-0.21,-15.42
570,-5.42,-0.06,-14.88
580,-5.65,0.2,-14.4
590,-5.81,0.47,-13.95
600,-5.98,0.71,-13.54
610,-6.16,0.75,-13.19
620,-6.32,0.67,-12.85
630,-6.31,0.75,-12.58
640,-6.28,0.83,-12.41
650,-6.17,0.89,-12.19
660,-5.95,0.98,-11.88
670,-5.71,0.85,-11.54
680,-5.45,0.64,-11.09
690,-5.12,0.48,-10.66
700,-4.76,0.51,-10.18
710,-4.64,0.52,-9.87
720,-4.61,0.44,-9.53
730,-4.61,0.48,-9.28
740,-4.45,0.61,-8.96
750,-4.2,0.73,-8.62
760,-3.9,0.76,-8.29
770,-3.57,0.81,-7.98
780,-3.26,0.85,-7.69
790,-3.0,0.87,-7.39
800,-2.81,0.85,-7.12
810,-2.67,0.81,-6.88
820,-2.48,0.83,-6.6
830,-2.27,0.92,-6.38
840,-1.93,1.19,-6.2
850,-1.5,1.56,-6.06
860,-1.14,1.89,-5.9
870,-0.81,2.08,-5.82
880,-0.61,2.13,-5.73
890,-0.47,2.11,-5.67
900,-0.28,2.16,-5.66
910,-0.06,2.21,-5.74
920,0.23,2.4,-5.8
930,0.53,2.55,-5.9
940,0.77,2.55,-6.0
950,1.0,2.48,-6.14
960,1.24,2.42,-6.3
970,1.53,2.37,-6.47
980,1.86,2.37,-6.57
990,2.1,2.38,-6.67
1000,2.27,2.35,-6.72
