timestamp,x,y,z
0,-1.66,4.06,-9.9
10,-1.61,4.09,-9.79
20,-1.41,4.1,-9.86
30,-1.21,4.11,-9.74
40,-1.07,4.08,-9.52
50,-1.18,4.03,-9.25
60,-1.47,4.06,-9.14
70,-2.14,4.04,-9.14
80,-2.85,3.98,-9.09
90,-3.33,3.96,-9.02
100,-3.74,3.9,-8.82
110,-4.05,3.85,-8.53
120,-4.19,3.7,-8.36
130,-4.1,3.53,-8.27
140,-3.59,3.27,-8.22
150,-2.92,3.19,-8.22
160,-2.21,3.21,-8.4
170,-1.67,3.32,-8.81
180,-1.25,3.42,-9.33
190,-0.97,3.52,-9.75
200,-0.93,3.58,-10.0
210,-1.21,3.54,-9.86
220,-1.68,3.37,-9.21
230,-2.48,3.16,-8.32
240,-3.36,2.95,-7.55
250,-4.34,2.72,-6.84
260,-5.35,2.46,-6.04
270,-6.0,2.1,-5.35
280,-6.42,1.64,-4.56
290,-7.0,1.03,-3.31
300,-7.65,0.23,-1.1
310,-7.65,-0.61,1.57
320,-6.19,-1.76,3.68
330,-3.44,-2.83,4.25
340,-2.69,-3.75,3.12
350,-3.29,-6.7,7.17
360,-1.72,-8.6,11.08
370,0.2,-10.52,13.17
380,4.19,-12.23,13.63
390,7.87,-13.31,10.18
400,10.96,-13.8,5.01
410,13.2,-13.86,-0.74
420,14.27,-14.54,-6.38
430,15.27,-16.4,-10.86
440,19.51,-16.71,-16.13
450,17.74,-15.67,-29.81
460,18.67,-12.99,-38.99
470,14.13,-11.14,-41.34
480,12.64,-10.35,-39.03
490,13.02,-10.13,-37.0
500,14.89,-10.51,-36.38
510,14.13,-10.64,-37.62
520,10.98,-9.85,-40.08
530,6.09,-8.91,-41.37
540,1.35,-7.8,-40.78
550,-3.76,-7.21,-36.05
560,-5.53,-7.28,-28.77
570,-5.47,-7.75,-20.86
580,-5.32,-7.91,-16.68
590,-6.37,-7.49,-17.07
600,-6.73,-6.89,-20.49
610,-7.28,-6.25,-23.74
620,-7.37,-6.16,-25.25
630,-7.53,-6.53,-23.98
640,-8.07,-7.55,-21.16
650,-7.98,-8.46,-18.22
660,-8.18,-8.56,-17.12
670,-8.03,-8.45,-16.28
680,-8.65,-8.3,-15.33
690,-7.74,-8.16,-13.83
700,-5.66,-7.61,-12.47
710,-3.91,-7.23,-11.32
720,-2.79,-6.9,-10.41
730,-5.22,-6.39,-10.01
740,-8.65,-5.72,-10.84
750,-10.94,-5.0,-11.81
760,-9.83,-4.04,-12.84
770,-7.9,-3.19,-13.62
780,-6.07,-3.06,-13.61
790,-3.87,-2.43,-12.47
800,-1.58,-2.43,-10.47
810,0.42,-2.98,-8.47
820,2.07,-3.18,-8.09
830,3.8,-2.25,-9.23
840,4.24,-1.6,-9.93
850,3.33,-1.62,-9.42
860,2.0,-1.28,-8.48
870,1.69,-0.98,-7.03
880,1.02,-1.07,-5.18
890,0.43,-1.33,-4.15
900,0.21,-1.03,-3.71
910,0.16,-0.58,-4.03
920,0.62,-0.23,-4.35
930,0.62,0.03,-5.05
940,-0.45,0.24,-5.39
950,-1.07,0.39,-5.46
960,-1.22,0.43,-5.22
970,-0.64,0.5,-4.53
980,0.55,0.51,-3.67
990,1.7,0.71,-3.52
1000,2.68,1.23,-4.25
