timestamp,x,y,z
0,3.39,3.31,-9.31
10,3.39,3.34,-9.34
20,3.43,3.32,-9.28
30,3.47,3.28,-9.21
40,3.54,3.25,-9.13
50,3.61,3.27,-9.15
60,3.64,3.32,-9.15
70,3.68,3.36,-9.21
80,3.66,3.37,-9.25
90,3.65,3.4,-9.28
100,3.62,3.38,-9.27
110,3.63,3.36,-9.28
120,3.64,3.34,-9.27
130,3.68,3.33,-9.33
140,3.74,3.36,-9.37
150,3.79,3.37,-9.42
160,3.8,3.41,-9.44
170,3.78,3.5,-9.45
180,3.72,3.44,-9.45
190,3.67,3.46,-9.43
200,3.62,3.52,-9.46
210,3.58,3.58,-9.45
220,3.54,3.61,-9.45
230,3.53,3.68,-9.5
240,3.44,3.74,-9.54
250,3.41,3.78,-9.67
260,3.27,3.81,-9.67
270,3.08,3.85,-9.66
280,2.89,3.9,-9.71
290,2.67,4.0,-9.73
300,2.36,4.04,-9.88
310,1.86,4.18,-10.19
320,1.21,4.41,-10.47
330,0.37,4.7,-10.73
340,-0.51,4.95,-10.79
350,-1.31,5.08,-10.61
360,-1.92,5.08,-10.27
370,-2.34,4.98,-9.95
380,-2.63,4.8,-9.61
390,-2.87,4.56,-9.18
400,-3.01,4.46,-8.73
410,-3.13,4.29,-8.28
420,-3.17,4.17,-7.7
430,-3.11,4.03,-7.18
440,-2.93,3.86,-6.59
450,-2.71,3.54,-5.98
460,-2.38,3.14,-5.44
470,-1.98,2.6,-4.93
480,-1.49,2.05,-4.36
490,-0.94,1.49,-3.9
500,-0.37,0.98,-3.52
510,0.31,0.45,-3.32
520,0.97,0.01,-3.31
530,1.65,-0.43,-3.39
540,2.36,-0.75,-3.48
550,2.97,-1.0,-3.63
560,3.37,-1.16,-3.84
570,3.5,-1.41,-4.15
580,3.52,-1.72,-4.4
590,3.53,-1.99,-4.53
600,3.66,-2.37,-4.62
610,3.88,-2.71,-4.61
620,4.24,-3.14,-4.65
630,4.63,-3.59,-4.87
640,4.91,-4.13,-5.31
650,5.09,-4.71,-5.95
660,5.13,-5.32,-6.75
670,5.13,-5.84,-7.43
680,5.05,-6.34,-8.33
690,5.08,-6.76,-9.23
700,5.3,-7.1,-10.43
710,5.67,-7.67,-11.77
720,6.28,-8.02,-13.03
730,6.91,-8.28,-14.13
740,7.46,-8.43,-15.09
750,7.74,-8.4,-16.05
760,7.75,-8.43,-17.14
770,7.82,-8.22,-18.22
780,7.93,-8.14,-19.42
790,8.27,-8.16,-20.38
800,8.84,-8.19,-20.97
810,9.36,-8.05,-21.18
820,9.55,-7.74,-21.1
830,9.28,-7.43,-20.97
840,8.41,-7.0,-20.82
850,7.29,-6.68,-20.63
860,6.21,-6.4,-20.34
870,5.42,-6.31,-19.79
880,4.92,-6.34,-19.11
890,4.64,-6.36,-18.54
900,4.3,-6.31,-18.2
910,2.99,-6.7,-17.59
920,4.22,-5.79,-18.79
930,2.15,-4.24,-18.28
940,-0.45,-7.41,-16.94
950,-0.63,-7.67,-17.49
960,-0.22,-7.35,-17.06
970,-0.19,-7.34,-16.46
980,-0.54,-6.98,-15.92
990,-1.03,-6.52,-15.44
1000,-1.4,-5.97,-15.25
