timestamp,x,y,z
0,2.09,2.26,-9.84
10,2.03,2.31,-9.88
20,1.99,2.38,-9.88
30,2.06,2.41,-9.82
40,2.07,2.4,-9.9
50,2.1,2.41,-9.99
60,2.12,2.39,-9.99
70,2.17,2.38,-10.04
80,2.23,2.42,-10.05
90,2.26,2.46,-10.05
100,2.27,2.48,-9.99
110,2.34,2.54,-9.9
120,2.38,2.6,-9.9
130,2.31,2.68,-9.92
140,2.17,2.7,-9.93
150,1.96,2.72,-10.04
160,1.69,2.8,-10.31
170,1.35,2.88,-10.7
180,1.2,2.99,-11.09
190,1.27,3.08,-11.27
200,1.64,3.1,-11.21
210,2.12,3.08,-11.08
220,2.42,2.98,-11.05
230,2.2,2.88,-11.44
240,1.17,3.06,-12.37
250,0.34,3.11,-13.07
260,-0.9,2.98,-13.3
270,-2.1,2.61,-13.11
280,-3.49,2.32,-12.98
290,-5.08,1.84,-12.81
300,-6.66,1.27,-12.51
310,-8.03,0.75,-12.22
320,-8.91,0.3,-12.13
330,-9.35,-0.1,-12.0
340,-9.68,-0.47,-11.77
350,-9.86,-0.71,-11.4
360,-9.13,-0.94,-11.11
370,-7.21,-1.13,-10.92
380,-4.89,-1.37,-10.42
390,-3.21,-1.64,-9.38
400,-1.9,-1.91,-8.13
410,-0.67,-2.09,-6.85
420,0.44,-2.15,-5.73
430,1.43,-2.33,-4.7
440,2.17,-2.6,-3.57
450,2.73,-2.77,-2.47
460,3.42,-2.89,-1.57
470,4.15,-2.91,-0.79
480,4.86,-2.81,-0.34
490,5.49,-2.7,-0.34
500,5.72,-2.6,-0.84
510,5.47,-2.52,-1.49
520,5.04,-2.67,-2.08
530,4.73,-2.85,-2.45
540,4.82,-3.02,-2.61
550,5.29,-3.19,-2.44
560,6.18,-3.43,-2.07
570,7.15,-3.8,-1.73
580,7.7,-4.33,-1.57
590,7.81,-5.11,-1.46
600,8.02,-5.87,-1.53
610,8.62,-6.64,-2.24
620,9.34,-7.34,-3.5
630,9.83,-8.07,-4.93
640,10.71,-8.91,-6.51
650,11.94,-9.84,-8.43
660,13.76,-10.71,-11.23
670,14.9,-11.31,-14.93
680,15.73,-11.48,-18.95
690,17.33,-10.98,-23.26
700,16.85,-11.22,-25.74
710,15.7,-11.0,-28.01
720,12.08,-11.33,-28.92
730,9.12,-11.4,-30.29
740,5.53,-10.88,-31.98
750,2.25,-10.61,-33.6
760,-0.66,-10.04,-34.79
770,-3.28,-9.26,-33.98
780,-4.09,-9.04,-30.98
790,-2.07,-9.07,-27.94
800,0.92,-9.16,-25.84
810,1.39,-9.78,-24.33
820,-0.3,-10.46,-22.14
830,-2.28,-11.1,-19.83
840,-3.89,-11.23,-18.48
850,-5.16,-10.58,-19.0
860,-7.78,-9.82,-21.94
870,-8.54,-6.49,-22.89
880,-7.32,-6.73,-18.12
890,-9.36,-10.08,-12.63
900,-8.95,-10.43,-11.45
910,-7.92,-8.52,-12.51
920,-4.65,-7.13,-14.77
930,-2.56,-6.31,-14.11
940,-3.65,-6.32,-12.4
950,-4.05,-6.21,-9.78
960,-4.14,-6.15,-7.85
970,-2.81,-5.18,-7.35
980,-1.27,-4.66,-6.95
990,-1.45,-4.63,-6.42
1000,-0.94,-3.6,-5.84
