timestamp,x,y,z
0,2.45,1.85,-10.24
10,2.51,1.88,-10.18
20,2.62,1.81,-10.0
30,2.5,1.85,-10.0
40,2.64,1.68,-10.07
50,2.24,1.75,-10.18
60,1.47,1.81,-10.32
70,1.44,2.02,-10.66
80,1.89,1.9,-11.18
90,2.13,1.96,-11.28
100,1.38,1.89,-11.12
110,1.23,1.92,-11.11
120,1.49,1.92,-11.35
130,0.59,2.03,-11.69
140,-0.36,2.33,-12.02
150,-1.18,2.17,-12.29
160,-2.18,2.24,-12.84
170,-2.49,2.27,-12.46
180,-2.63,2.2,-12.37
190,-3.07,1.97,-12.18
200,-4.27,1.88,-11.9
210,-6.11,1.83,-11.87
220,-7.89,1.64,-11.65
230,-9.08,1.41,-10.95
240,-9.9,0.84,-9.37
250,-9.87,0.28,-7.64
260,-10.05,-0.36,-5.86
270,-9.36,-1.19,-4.49
280,-7.97,-1.93,-3.31
290,-5.51,-2.72,-1.69
300,-3.3,-3.45,0.08
310,-1.72,-4.14,1.56
320,0.28,-4.67,2.67
330,2.27,-5.06,3.21
340,4.26,-5.12,2.97
350,5.74,-5.23,2.1
360,6.77,-5.19,0.58
370,6.52,-5.12,-1.29
380,5.62,-5.41,-2.47
390,5.26,-5.24,-5.17
400,5.89,-5.54,-7.07
410,7.75,-5.79,-8.04
420,9.44,-5.99,-8.93
430,10.91,-5.69,-10.24
440,12.08,-5.43,-11.5
450,12.55,-5.41,-12.34
460,12.62,-5.39,-13.13
470,11.99,-5.1,-14.96
480,10.74,-4.69,-16.99
490,10.23,-4.37,-18.17
500,10.52,-4.17,-19.02
510,11.15,-4.0,-20.05
520,10.99,-3.73,-21.15
530,10.64,-3.73,-22.27
540,8.95,-3.86,-23.44
550,7.52,-4.19,-24.87
560,4.59,-4.52,-26.51
570,1.61,-4.65,-28.33
580,-0.91,-4.88,-29.18
590,-2.88,-4.71,-29.01
600,-3.69,-4.66,-27.83
610,-2.04,-4.87,-25.94
620,2.01,-5.32,-24.16
630,4.36,-5.63,-23.06
640,3.88,-6.25,-22.62
650,2.23,-7.01,-22.04
660,-0.32,-7.8,-21.37
670,-2.9,-8.36,-20.91
680,-4.58,-8.55,-20.5
690,-4.4,-8.26,-20.33
700,-4.61,-7.69,-20.46
710,-6.03,-7.58,-20.42
720,-7.32,-7.32,-20.01
730,-7.77,-6.97,-19.75
740,-7.81,-6.79,-19.2
750,-7.93,-6.98,-17.37
760,-7.81,-7.18,-15.14
770,-6.74,-6.94,-14.13
780,-5.89,-6.42,-13.35
790,-5.54,-6.09,-11.97
800,-4.78,-5.99,-10.21
810,-3.56,-5.73,-9.07
820,-3.05,-4.97,-7.66
830,-2.16,-4.57,-5.67
840,-2.44,-4.81,-3.93
850,-2.49,-3.68,-5.5
860,-2.99,-2.67,-6.51
870,-1.83,-2.5,-5.16
880,-0.97,-2.35,-3.55
890,-0.09,-1.87,-2.18
900,0.25,-1.46,-1.47
910,-0.25,-0.88,-1.64
920,-0.34,-0.17,-2.35
930,-0.28,0.35,-2.53
940,0.48,0.76,-2.2
950,1.54,0.96,-2.3
960,2.36,1.16,-2.29
970,2.94,1.48,-2.5
980,3.11,1.7,-2.9
990,3.28,1.94,-2.96
1000,3.68,2.1,-3.06
