timestamp,x,y,z
0,4.45,1.93,-9.22
10,4.3,2.02,-9.02
20,4.09,2.04,-8.95
30,3.93,2.12,-9.37
40,3.73,2.31,-10.28
50,3.82,2.38,-11.09
60,4.22,2.37,-11.5
70,4.87,2.3,-11.52
80,5.67,2.29,-11.56
90,6.25,2.35,-11.98
100,6.13,2.45,-12.65
110,5.18,2.57,-13.47
120,3.51,2.64,-14.16
130,1.83,2.61,-14.65
140,-0.16,2.57,-14.86
150,-2.22,2.54,-14.98
160,-4.07,2.51,-14.81
170,-5.26,2.48,-14.41
180,-5.83,2.36,-13.69
190,-5.56,2.27,-13.18
200,-4.66,2.15,-12.5
210,-3.78,2.04,-11.55
220,-3.39,1.92,-10.6
230,-3.0,1.79,-9.48
240,-2.55,1.76,-8.77
250,-2.16,1.79,-8.15
260,-2.13,1.87,-7.83
270,-2.47,1.88,-7.48
280,-2.99,1.94,-7.15
290,-3.23,1.88,-6.54
300,-3.28,1.72,-5.44
310,-3.14,1.47,-4.02
320,-2.87,1.16,-2.61
330,-3.28,0.79,-0.81
340,-1.47,0.51,0.06
350,0.33,0.44,0.35
360,0.92,0.34,0.55
370,2.49,0.22,1.2
380,3.73,0.04,2.01
390,4.12,-0.28,2.8
400,4.82,-0.83,3.62
410,5.63,-1.32,3.81
420,5.86,-1.68,3.11
430,5.11,-2.07,2.11
440,4.06,-2.69,1.35
450,3.75,-3.61,1.2
460,4.06,-4.71,1.19
470,4.9,-5.68,0.36
480,6.08,-6.28,-1.41
490,7.41,-6.54,-3.85
500,8.61,-6.52,-6.57
510,9.46,-6.84,-8.56
520,9.84,-7.24,-10.12
530,10.69,-7.41,-12.96
540,10.41,-7.58,-16.59
550,9.63,-6.92,-21.35
560,9.6,-6.81,-24.38
570,9.07,-6.83,-25.83
580,10.84,-6.66,-25.99
590,13.0,-6.89,-26.02
600,13.7,-6.87,-26.84
610,11.98,-6.36,-28.57
620,9.13,-5.78,-30.71
630,6.82,-4.54,-32.33
640,5.81,-3.7,-31.67
650,4.92,-3.16,-29.13
660,3.4,-3.18,-25.76
670,1.73,-3.55,-22.77
680,-0.15,-3.73,-20.54
690,-1.86,-3.75,-19.42
700,-2.65,-3.37,-19.11
710,-2.42,-3.14,-19.6
720,-2.72,-3.0,-20.25
730,-3.35,-2.98,-20.66
740,-4.59,-2.84,-21.29
750,-5.71,-2.99,-21.55
760,-6.36,-2.85,-22.13
770,-7.34,-3.33,-21.48
780,-9.04,-3.83,-20.03
790,-9.9,-4.3,-18.01
800,-9.54,-4.38,-17.43
810,-8.32,-3.89,-17.93
820,-7.48,-3.67,-18.33
830,-7.73,-3.78,-17.62
840,-7.62,-4.18,-15.53
850,-6.46,-4.51,-13.38
860,-5.5,-4.52,-11.83
870,-4.86,-4.45,-10.8
880,-4.7,-4.19,-10.2
890,-4.41,-3.73,-9.71
900,-3.2,-3.31,-9.08
910,-2.16,-3.29,-7.94
920,-2.04,-3.16,-7.14
930,-3.22,-2.94,-5.91
940,-1.64,-2.95,-4.0
950,-0.64,-2.7,-2.55
960,-0.01,-2.0,-2.6
970,1.07,-1.19,-3.05
980,1.29,-0.3,-4.03
990,0.95,-0.03,-4.27
1000,0.89,0.27,-3.95
