timestamp,x,y,z
0,-1.31,4.06,-9.01
10,-1.53,4.17,-8.9
20,-1.75,4.29,-8.8
30,-2.0,4.37,-8.71
40,-2.25,4.51,-8.57
50,-2.51,4.55,-8.48
60,-2.73,4.53,-8.38
70,-2.87,4.47,-8.28
80,-2.9,4.36,-8.18
90,-2.85,4.24,-8.05
100,-2.73,4.1,-8.01
110,-2.54,3.95,-7.92
120,-2.38,3.77,-7.78
130,-2.23,3.64,-7.69
140,-2.14,3.52,-7.57
150,-2.04,3.46,-7.45
160,-2.01,3.39,-7.25
170,-1.97,3.29,-7.03
180,-1.93,3.14,-6.79
190,-1.88,2.9,-6.53
200,-1.82,2.53,-6.34
210,-1.68,2.17,-6.16
220,-1.49,1.85,-6.06
230,-1.24,1.61,-6.11
240,-0.94,1.38,-6.25
250,-0.62,1.19,-6.44
260,-0.36,1.03,-6.67
270,-0.19,0.86,-6.85
280,-0.13,0.64,-7.01
290,-0.25,0.35,-7.19
300,-0.35,-0.08,-7.34
310,-0.25,-0.48,-7.57
320,-0.05,-0.9,-7.92
330,0.37,-1.28,-8.31
340,0.84,-1.44,-8.75
350,1.3,-1.45,-9.11
360,1.61,-1.34,-9.45
370,1.69,-1.22,-9.71
380,1.66,-1.31,-9.84
390,1.61,-1.53,-9.83
400,1.61,-1.85,-9.73
410,1.35,-2.25,-9.85
420,0.99,-3.03,-10.24
430,0.9,-3.46,-10.75
440,0.96,-3.48,-11.41
450,1.0,-3.35,-12.11
460,1.02,-3.08,-12.9
470,0.93,-2.74,-13.71
480,0.68,-2.55,-14.45
490,0.2,-2.43,-15.12
500,-0.33,-2.35,-15.8
510,-0.89,-2.21,-16.54
520,-1.45,-2.08,-17.31
530,-1.87,-2.01,-17.98
540,-5.49,0.17,-23.5
550,-4.71,2.29,-21.54
560,-5.04,1.35,-20.35
570,-2.78,-0.96,-17.42
580,-0.56,-2.32,-15.28
590,-0.25,-2.34,-14.72
600,-0.34,-1.44,-15.34
610,-3.0,-0.58,-15.66
620,-4.35,0.54,-17.97
630,-5.89,0.85,-18.67
640,-6.23,0.82,-18.9
650,-6.12,0.31,-17.69
660,-5.52,0.05,-16.91
670,-4.96,-0.46,-15.56
680,-4.25,-1.1,-13.97
690,-3.56,-1.65,-12.35
700,-3.16,-1.76,-11.46
710,-3.17,-1.6,-10.91
720,-3.29,-1.18,-10.67
730,-3.33,-0.66,-10.71
740,-3.59,-0.22,-10.5
750,-3.85,0.23,-10.69
760,-3.99,0.54,-10.61
770,-3.92,0.73,-10.43
780,-3.83,0.96,-10.26
790,-3.98,1.2,-10.04
800,-4.22,1.2,-9.89
810,-4.27,1.11,-9.68
820,-4.12,1.21,-9.47
830,-3.92,1.3,-9.47
840,-4.01,1.55,-9.41
850,-3.96,1.87,-9.4
860,-3.93,2.14,-9.51
870,-3.95,2.32,-9.45
880,-3.93,2.53,-9.49
890,-4.03,2.73,-9.44
900,-4.1,2.86,-9.32
910,-4.07,2.9,-9.1
920,-4.1,2.96,-8.88
930,-4.25,3.01,-8.7
940,-4.3,2.97,-8.45
950,-4.18,3.01,-8.14
960,-4.03,2.98,-7.87
970,-3.84,3.05,-7.53
980,-3.64,3.18,-7.32
990,-3.3,3.28,-7.09
1000,-2.92,3.5,-6.89
