timestamp,x,y,z
0,-5.61,3.93,-7.9
10,-5.7,3.72,-7.7
20,-5.62,3.51,-7.61
30,-5.38,3.32,-7.58
40,-5.08,3.13,-7.66
50,-4.74,2.95,-7.69
60,-4.42,2.68,-7.61
70,-4.11,2.37,-7.44
80,-3.8,2.06,-7.18
90,-3.4,1.71,-6.96
100,-2.97,1.44,-6.79
110,-2.58,1.23,-6.69
120,-2.2,1.03,-6.53
130,-1.88,0.81,-6.31
140,-1.55,0.59,-6.05
150,-1.2,0.36,-5.82
160,-0.81,0.02,-5.64
170,-0.42,-0.42,-5.49
180,-0.01,-0.96,-5.6
190,0.51,-1.41,-5.94
200,1.07,-1.76,-6.44
210,1.65,-2.01,-7.09
220,2.21,-2.1,-7.87
230,2.6,-2.27,-8.83
240,3.0,-2.49,-9.87
250,3.47,-2.66,-10.83
260,3.75,-3.01,-11.82
270,4.1,-3.36,-12.69
280,4.53,-3.49,-13.28
290,4.77,-3.71,-13.81
300,4.98,-3.85,-14.2
310,4.98,-3.94,-14.56
320,4.73,-4.14,-14.93
330,4.32,-4.34,-15.37
340,3.8,-4.35,-15.91
350,3.15,-4.08,-16.5
360,2.36,-3.68,-17.13
370,1.45,-3.14,-17.69
380,-0.68,-2.74,-17.38
390,-0.37,-2.53,-18.59
400,-1.87,-2.14,-18.65
410,-3.1,-1.82,-18.6
420,-4.02,-1.51,-18.8
430,-5.2,-1.13,-18.77
440,-6.24,-0.73,-18.75
450,-7.13,-0.33,-18.6
460,-7.78,0.01,-18.25
470,-8.23,0.14,-17.76
480,-8.46,0.15,-17.28
490,-8.52,0.16,-16.83
500,-8.55,0.15,-16.45
510,-8.68,0.16,-16.05
520,-8.88,0.09,-15.58
530,-8.98,0.03,-15.05
540,-8.94,-0.03,-14.42
550,-8.68,-0.02,-13.63
560,-8.32,-0.01,-12.77
570,-7.95,0.0,-11.86
580,-7.6,-0.1,-10.98
590,-7.19,-0.23,-10.28
600,-6.67,-0.22,-9.73
610,-6.09,-0.08,-9.22
620,-5.55,-0.13,-8.89
630,-4.77,-0.07,-8.53
640,-4.05,-0.17,-8.14
650,-3.43,-0.29,-7.71
660,-2.94,-0.4,-7.28
670,-2.5,-0.42,-6.85
680,-2.03,-0.31,-6.37
690,-1.66,-0.25,-5.91
700,-1.32,-0.17,-5.49
710,-0.99,-0.08,-5.13
720,-0.62,-0.01,-4.89
730,-0.23,0.1,-4.78
740,0.19,0.23,-4.7
750,0.64,0.37,-4.71
760,0.98,0.45,-4.71
770,1.42,0.5,-4.71
780,1.74,0.48,-4.7
790,2.01,0.46,-4.82
800,2.28,0.57,-5.12
810,2.47,0.89,-5.66
820,2.5,1.32,-6.32
830,2.42,1.75,-7.03
840,2.21,2.11,-7.72
850,1.94,2.38,-8.41
860,1.68,2.52,-8.98
870,1.47,2.59,-9.58
880,1.38,2.6,-10.1
890,1.32,2.56,-10.55
900,1.33,2.54,-11.07
910,1.29,2.55,-11.53
920,1.19,2.56,-11.95
930,1.05,2.62,-12.36
940,0.94,2.76,-12.67
950,0.85,2.88,-12.8
960,0.73,2.97,-12.81
970,0.66,3.06,-12.67
980,0.53,3.09,-12.41
990,0.38,3.06,-12.06
1000,0.23,3.01,-11.76
