timestamp,x,y,z
0,-1.96,4.43,-10.03
10,-2.23,4.63,-10.01
20,-2.5,4.8,-10.02
30,-2.78,4.78,-10.04
40,-2.95,4.85,-10.13
50,-3.12,4.89,-10.13
60,-3.32,4.99,-10.09
70,-3.53,5.01,-9.94
80,-3.84,5.08,-9.79
90,-4.18,5.08,-9.49
100,-4.51,5.0,-9.08
110,-4.78,4.92,-8.58
120,-4.89,4.73,-8.09
130,-4.92,4.45,-7.65
140,-4.86,4.18,-7.24
150,-4.71,3.92,-6.85
160,-4.52,3.68,-6.47
170,-4.3,3.45,-6.14
180,-4.05,3.25,-5.84
190,-3.8,3.03,-5.62
200,-3.48,2.8,-5.47
210,-3.14,2.55,-5.41
220,-2.75,2.34,-5.42
230,-2.38,2.11,-5.46
240,-2.03,1.86,-5.52
250,-1.64,1.62,-5.53
260,-1.3,1.35,-5.57
270,-0.88,1.08,-5.54
280,-0.48,0.88,-5.52
290,-0.08,0.67,-5.53
300,0.32,0.49,-5.54
310,0.63,0.26,-5.6
320,0.84,-0.03,-5.61
330,1.04,-0.17,-5.74
340,1.25,-0.35,-5.97
350,1.48,-0.5,-6.27
360,1.75,-0.56,-6.81
370,1.9,-0.57,-7.36
380,2.01,-0.65,-7.99
390,2.1,-0.64,-8.58
400,2.11,-0.65,-9.09
410,2.09,-0.68,-9.65
420,2.12,-0.57,-10.16
430,2.17,-0.51,-10.65
440,2.25,-0.37,-11.15
450,2.32,-0.18,-11.56
460,2.35,-0.01,-11.93
470,2.23,0.13,-12.23
480,2.11,0.3,-12.44
490,2.01,0.32,-12.54
500,1.76,0.17,-12.53
510,1.54,0.0,-12.66
520,1.46,0.06,-12.77
530,1.36,0.13,-13.01
540,1.24,0.2,-13.35
550,1.19,0.28,-13.76
560,0.96,0.34,-14.21
570,0.72,0.36,-14.79
580,0.44,0.3,-15.35
590,0.28,0.32,-15.87
600,0.19,0.27,-16.34
610,0.1,0.08,-16.69
620,0.05,-0.21,-17.09
630,0.1,-0.37,-17.5
640,0.15,-0.35,-18.06
650,0.04,-0.23,-18.51
660,-0.25,-0.18,-18.86
670,-0.76,-0.21,-19.05
680,-1.15,-0.23,-19.19
690,-1.42,-0.16,-19.22
700,-1.47,-0.12,-19.08
710,-1.42,-0.1,-18.7
720,-1.46,-0.01,-18.11
730,-1.83,-0.01,-17.42
740,-2.54,-0.02,-16.68
750,-3.43,0.04,-16.0
760,-4.24,0.17,-15.41
770,-4.78,0.4,-14.83
780,-5.1,0.6,-14.21
790,-5.26,0.61,-13.57
800,-5.29,0.6,-13.0
810,-5.24,0.67,-12.62
820,-5.2,0.78,-12.34
830,-5.29,0.88,-12.08
840,-5.44,0.98,-11.84
850,-5.57,1.07,-11.5
860,-5.65,1.05,-11.19
870,-5.61,1.2,-10.83
880,-5.53,1.26,-10.48
890,-5.4,1.21,-10.03
900,-5.19,1.05,-9.61
910,-4.98,0.82,-9.25
920,-4.77,0.74,-8.86
930,-4.48,0.65,-8.44
940,-4.16,0.6,-8.1
950,-3.77,0.59,-7.77
960,-3.4,0.63,-7.49
970,-3.14,0.6,-7.24
980,-2.91,0.54,-7.02
990,-2.79,0.51,-6.9
1000,-2.66,0.55,-6.76
